Nome	Constelação	Área de Influência	Interpretação (Astrologia Horária)	 
Acamar	θ Eridanus	Sucesso público e eclesiástico	Em Astrologia Horária, Acamar favorece questões ligadas à autoridade, cargos públicos e assuntos religiosos. Indica sucesso em funções de liderança, especialmente em instituições tradicionais ou espirituais. Quando bem posicionado, promete reconhecimento e estabilidade no cargo. Pode apontar respostas positivas para questões sobre honrarias ou promoções. Contudo, se aflito, pode trazer atrasos administrativos ou obstáculos formais. Em assuntos espirituais, reforça convicções e fidelidade às crenças. É especialmente benéfico em questões que envolvem viagens ou comunicações oficiais.	 
Achernar	α Eridanus	Felicidade, religião	Indica felicidade e sucesso, principalmente em assuntos ligados à moral, religião ou filosofia. Bem colocado, responde de forma favorável a perguntas sobre progresso espiritual, obtenção de cargos religiosos ou reconhecimento moral. Pode representar uma figura benevolente que intervém para ajudar. Em temas de viagens longas, sugere experiências enriquecedoras e aprendizado elevado. A presença conjunta com Júpiter aumenta seu potencial benéfico. Se aflito, pode indicar dogmatismo ou dificuldades religiosas, mas raramente anula totalmente a tendência positiva de elevação e bem-estar.	 
Achird	η Cassiopeia	Beleza, arte, joias	Traz inclinação para artes, joalheria, trabalhos manuais refinados e apreciação estética. Em Astrologia Horária, aponta para respostas favoráveis em questões ligadas à decoração, moda, ornamentos ou trabalhos criativos. Pode representar uma pessoa vaidosa ou que se preocupa muito com aparência. Quando bem aspectada, indica valorização, lucros com bens de luxo ou soluções estéticas bem-sucedidas. Em questões sentimentais, favorece encontros agradáveis, mas alerta contra orgulho excessivo. Pode também indicar necessidade de investimento financeiro em beleza ou arte para obter o resultado desejado.	 
Acrab	β Scorpius	Pesquisa, segredos, riscos	Representa investigação profunda, temas ocultos, segredos e questões estratégicas. Em horária, pode indicar a descoberta de informações críticas, mas também risco de traições ou problemas ocultos. A resposta tende a envolver elementos de perigo, manipulação ou necessidade de cautela. Favorece trabalhos de pesquisa e análise minuciosa, mas com atmosfera tensa. Em assuntos de saúde, pode apontar para doenças difíceis de diagnosticar. Se em mau aspecto, anuncia perdas ou conflitos graves. Pode também simbolizar inimigos ocultos ou ações indiretas que influenciam o desfecho da questão.	 
Acrux	α Crux	Espiritualidade, ocultismo	Favorece questões ligadas à espiritualidade, ocultismo, investigação esotérica e busca de sentido profundo. Em horária, bem posicionada, indica respostas positivas quando a pergunta envolve cerimônias, rituais, religião ou estudos místicos. Sugere perseverança, mas também testes e responsabilidades. Pode representar uma figura sábia ou um guia espiritual. Quando aflita, indica dificuldades por causa de crenças rígidas ou desafios morais. No geral, sua energia conduz a um entendimento mais elevado e a soluções que exigem paciência e dedicação a princípios éticos.	 
Acubens	α Cancer	Intelecto sob pressão	Ligada a raciocínio rápido em situações de pressão, Acubens, em horária, indica que o consulente poderá resolver problemas complexos sob circunstâncias tensas. Pode apontar envolvimento em disputas, debates ou defesa de ideias. Quando bem colocada, favorece soluções inteligentes e reconhecimento por perspicácia. Se aflita, sugere mentiras, enganos ou conflitos, especialmente se relacionada a Marte ou Saturno. Pode representar o ato de agir por imposição externa, com inteligência aplicada a serviço de outra pessoa ou causa, às vezes contra a vontade do próprio consulente.	 
Aculeus	M6 Scorpius	Visão interior, obstáculos	Relacionada a visão interna e superação de limitações, Aculeus indica desafios que exigem percepção além do óbvio. Em horária, pode representar críticas, oposição ou ataques, mas também a capacidade de resistir. Bem aspectada, dá inteligência aguçada e insights não convencionais. Se aflita, aponta visão distorcida ou pessimismo. Em questões de saúde, pode indicar problemas de visão. Em assuntos religiosos ou filosóficos, leva a posturas extremas ou contestadoras. É uma estrela que, mesmo trazendo dificuldade, também sinaliza força em aprender com a adversidade.	 
Acumen	M7 Scorpius	Discernimento, crítica	Como par de Aculeus, Acumen reforça temas de julgamento crítico e discernimento apurado. Em horária, representa a capacidade de perceber falhas e riscos que outros ignoram. Pode indicar o papel de conselheiro ou analista, mas com tendência a pessimismo se mal aspectada. Favorece investigações, auditorias e revisões detalhadas. Se aflita, traz conflitos por críticas excessivas. Em questões de parcerias, pode mostrar necessidade de avaliar friamente antes de decidir. Sua presença pode significar que a resposta requer prudência e exame cuidadoso das circunstâncias.	 
Adara	ε Canis Major	Paixões fortes, lealdade	Em horária, Adara indica lealdade intensa e sentimentos profundos, mas também paixões que podem ser difíceis de controlar. Favorece questões de amizade e alianças sinceras, sugerindo ajuda de aliados leais. Em temas de amor, aponta relações marcadas por intensidade emocional. Quando aflita, pode indicar conflitos gerados por ciúme ou impulsividade. Também está associada a causas que despertam devoção incondicional. Pode representar um protetor ou guardião fiel, mas cuja energia precisa ser direcionada para evitar ações precipitadas.	 
Adhafera	ζ Leo	Poder e riscos ocultos	Em Astrologia Horária, Adhafera pode indicar questões envolvendo poder, liderança e segredos perigosos. Quando bem colocada, traz capacidade estratégica e visão para lidar com rivais. Se aflita, alerta para riscos de intriga, ações traiçoeiras e até envenenamento. Pode representar figuras de autoridade com intenções ocultas. Em temas de disputas, mostra que o resultado depende de saber manejar informações confidenciais. Para saúde, pode indicar intoxicações. Em geral, sugere cautela e vigilância em negociações e ambientes políticos ou competitivos.	 
Adhil	ξ Andromeda	Punição, autoridade	Simboliza figuras de autoridade severas ou situações de julgamento. Em horária, Adhil pode representar o aplicador de regras ou punições. Bem colocada, indica disciplina e aplicação da lei de forma justa. Se aflita, sugere rigidez excessiva ou abuso de poder. Pode apontar prisões, sanções ou execução de penalidades. Em questões pessoais, alerta para a necessidade de cumprir regras estritas. Sua presença frequentemente indica que o consulente lidará com pessoas ou instituições que têm poder de impor consequências significativas.	 
Agena	β Centaurus	Sucesso, amizades	Em horária, Agena é um indicador positivo para sucesso social, alianças e avanços profissionais. Bem posicionada, favorece ganhos, reconhecimento e amizade influente. Pode representar uma pessoa refinada e ética que auxilia na questão. Se aflita, tende a escândalos, boatos ou relações comprometidas por ciúmes. Em questões jurídicas ou acadêmicas, reforça resultados favoráveis. Em assuntos sentimentais, aponta relações harmoniosas, mas que exigem cuidado com interferências externas. É um fator de progresso, desde que se mantenha a integridade.	 
Ain	ε Taurus	Visão, percepção	Em horária, Ain representa clareza de visão e percepção aguçada. Bem aspectada, aponta respostas positivas quando é necessário ver a verdade por trás das aparências. Pode indicar testemunhas, observadores ou especialistas em análise. Se aflita, sugere visão turva, engano ou ignorar fatos importantes. Pode também simbolizar foco excessivo em detalhes, perdendo o panorama geral. Em assuntos de negócios, favorece a avaliação cuidadosa de propostas. A posição em signos fixos reforça estabilidade na decisão, enquanto em signos mutáveis indica mudança de opinião.	 
Al Hecka	ζ Taurus	Ação decisiva, risco	Em horária, Al Hecka aponta para a necessidade de agir de forma decisiva diante de desafios. Bem colocada, favorece estratégias ousadas e resolução rápida de conflitos. Se aflita, indica impulsividade, acidentes ou confrontos perigosos. Em questões militares ou esportivas, reforça energia e competitividade. Pode representar pessoas ou situações que “atacam primeiro” para garantir vantagem. Em negócios, alerta para ações precipitadas sem análise adequada. Sua energia é intensa, exigindo controle e clareza para evitar consequências negativas.	 
Al Nair	α Gruis	Determinação e liderança	Em Astrologia Horária, Al Nair sugere decisões firmes e postura de liderança. Favorece questões onde é necessário assumir controle ou guiar outros, especialmente em viagens, explorações ou disputas territoriais. Pode representar uma figura influente que impulsiona o andamento dos assuntos. Quando aflita, alerta contra arrogância ou decisões precipitadas. Em questões comerciais, indica iniciativa e abertura de novos caminhos, mas exige atenção à execução. Para temas sentimentais, pode mostrar relacionamento em que um dos parceiros assume papel dominante, sendo necessário equilíbrio para evitar conflitos de poder.	 
